#{"t_start": 1591196038.852184, "env_id": null}
r,l,t
-160.376274,377,1460.640312
-1365.711704,233,1460.947075
-1734.911852,345,1461.385696
-2032.422914,352,1461.814898
-1416.941217,178,1462.053413
-2265.098609,168,1462.269594
-833.111446,368,1462.731686
-134.24624,189,1462.966636
-1623.101353,303,1463.360071
-864.722328,275,1463.700619
-507.125631,338,1464.163968
-518.536293,191,1464.372113
-1900.644548,295,1464.744537
-699.775567,173,1464.979433
-66.253427,409,1465.518085
-979.305115,99,1465.666395
-2069.60593,382,1466.137354
-1824.838981,158,1466.346023
-2116.698021,653,1467.16439
-1001.755239,349,1467.63802
-843.788296,459,1468.236096
-2892.919835,331,1468.674069
-1607.879823,139,1468.833323
-2638.249752,224,1469.130862
-42.131856,218,1469.391371
-4372.903179,594,1470.141669
-779.296461,456,1470.780285
-2835.161582,508,1471.42876
-82.054609,29,1471.459162
-173.135936,611,1472.236751
-920.698135,380,1472.736909
1.0,1,1472.740546
-493.992126,358,1473.162682
-254.483612,137,1473.342247
-88.562651,293,1473.736585
-1228.795452,615,1474.512058
-1712.829312,134,1474.699641
-1055.800289,384,1475.172131
-1542.683358,342,1475.596439
-441.202981,319,1476.030441
-138.87727,59,1476.087135
-3307.03493,364,1476.540505
-1947.113181,417,1477.07514
